node, 0, -1178.6, 103.114
node, 1, -1000, 0
node, 2, -1178.6, -103.114
node, 3, -1142.79, -306.209
node, 4, -984.808, -173.648
node, 5, -1072.25, -500
node, 6, -939.693, -342.02
node, 7, -969.139, -678.599
node, 8, -866.025, -500
node, 9, -836.579, -836.579
node, 10, -766.044, -642.788
node, 11, -678.599, -969.139
node, 12, -642.788, -766.044
node, 13, -500, -1072.25
node, 14, -500, -866.025
node, 15, -306.209, -1142.79
node, 16, -342.02, -939.693
node, 17, -103.114, -1178.6
node, 18, 0, -1000
node, 19, 103.114, -1178.6
node, 20, -173.648, -984.808
node, 21, 173.648, -984.808
node, 22, 306.209, -1142.79
node, 23, 342.02, -939.693
node, 24, 500, -1072.25
node, 25, 500, -866.025
node, 26, 678.599, -969.139
node, 27, 642.788, -766.044
node, 28, 836.579, -836.579
node, 29, 766.044, -642.788
node, 30, 969.139, -678.599
node, 31, 866.025, -500
node, 32, 1072.25, -500
node, 33, 939.693, -342.02
node, 34, 1142.79, -306.209
node, 35, 984.808, -173.648
node, 36, 1178.6, -103.114
node, 37, 1178.6, 103.114
node, 38, 1000, 0
node, 39, -1142.79, 306.209
node, 40, -984.808, 173.648
node, 41, -1072.25, 500
node, 42, -939.693, 342.02
node, 43, -969.139, 678.599
node, 44, -866.025, 500
node, 45, -836.579, 836.579
node, 46, -766.044, 642.788
node, 47, -678.599, 969.139
node, 48, -642.788, 766.044
node, 49, -500, 1072.25
node, 50, -500, 866.025
node, 51, -306.209, 1142.79
node, 52, -342.02, 939.693
node, 53, -103.114, 1178.6
node, 54, 0, 1000
node, 55, 103.114, 1178.6
node, 56, -173.648, 984.808
node, 57, 173.648, 984.808
node, 58, 306.209, 1142.79
node, 59, 342.02, 939.693
node, 60, 500, 1072.25
node, 61, 500, 866.025
node, 62, 678.599, 969.139
node, 63, 642.788, 766.044
node, 64, 836.579, 836.579
node, 65, 766.044, 642.788
node, 66, 969.139, 678.599
node, 67, 866.025, 500
node, 68, 1072.25, 500
node, 69, 939.693, 342.02
node, 70, 1142.79, 306.209
node, 71, 984.808, 173.648
sprg, 0, 0, 1, 1
sprg, 1, 1, 2, 1
sprg, 2, 3, 4, 1
sprg, 3, 4, 2, 1
sprg, 4, 5, 6, 1
sprg, 5, 6, 3, 1
sprg, 6, 7, 8, 1
sprg, 7, 8, 5, 1
sprg, 8, 9, 10, 1
sprg, 9, 10, 7, 1
sprg, 10, 11, 12, 1
sprg, 11, 12, 9, 1
sprg, 12, 13, 14, 1
sprg, 13, 14, 11, 1
sprg, 14, 15, 16, 1
sprg, 15, 16, 13, 1
sprg, 16, 17, 18, 1
sprg, 17, 18, 19, 1
sprg, 18, 17, 20, 1
sprg, 19, 20, 15, 1
sprg, 20, 19, 21, 1
sprg, 21, 21, 22, 1
sprg, 22, 22, 23, 1
sprg, 23, 23, 24, 1
sprg, 24, 24, 25, 1
sprg, 25, 25, 26, 1
sprg, 26, 26, 27, 1
sprg, 27, 27, 28, 1
sprg, 28, 28, 29, 1
sprg, 29, 29, 30, 1
sprg, 30, 30, 31, 1
sprg, 31, 31, 32, 1
sprg, 32, 32, 33, 1
sprg, 33, 33, 34, 1
sprg, 34, 34, 35, 1
sprg, 35, 35, 36, 1
sprg, 36, 37, 38, 1
sprg, 37, 38, 36, 1
sprg, 38, 39, 40, 1
sprg, 39, 40, 0, 1
sprg, 40, 41, 42, 1
sprg, 41, 42, 39, 1
sprg, 42, 43, 44, 1
sprg, 43, 44, 41, 1
sprg, 44, 45, 46, 1
sprg, 45, 46, 43, 1
sprg, 46, 47, 48, 1
sprg, 47, 48, 45, 1
sprg, 48, 49, 50, 1
sprg, 49, 50, 47, 1
sprg, 50, 51, 52, 1
sprg, 51, 52, 49, 1
sprg, 52, 53, 54, 1
sprg, 53, 54, 55, 1
sprg, 54, 53, 56, 1
sprg, 55, 56, 51, 1
sprg, 56, 55, 57, 1
sprg, 57, 57, 58, 1
sprg, 58, 58, 59, 1
sprg, 59, 59, 60, 1
sprg, 60, 60, 61, 1
sprg, 61, 61, 62, 1
sprg, 62, 62, 63, 1
sprg, 63, 63, 64, 1
sprg, 64, 64, 65, 1
sprg, 65, 65, 66, 1
sprg, 66, 66, 67, 1
sprg, 67, 67, 68, 1
sprg, 68, 68, 69, 1
sprg, 69, 69, 70, 1
sprg, 70, 70, 71, 1
sprg, 71, 71, 37, 1
rigd, 72, 38, 35, 0
rigd, 73, 35, 33, 0
rigd, 74, 33, 31, 0
rigd, 75, 31, 29, 0
rigd, 76, 29, 27, 0
rigd, 77, 27, 25, 0
rigd, 78, 25, 23, 0
rigd, 79, 23, 21, 0
rigd, 80, 21, 18, 0
rigd, 81, 18, 20, 0
rigd, 82, 20, 16, 0
rigd, 83, 16, 14, 0
rigd, 84, 14, 12, 0
rigd, 85, 12, 10, 0
rigd, 86, 10, 8, 0
rigd, 87, 8, 6, 0
rigd, 88, 6, 4, 0
rigd, 89, 4, 1, 0
rigd, 90, 38, 71, 0
rigd, 91, 71, 69, 0
rigd, 92, 69, 67, 0
rigd, 93, 67, 65, 0
rigd, 94, 65, 63, 0
rigd, 95, 63, 61, 0
rigd, 96, 61, 59, 0
rigd, 97, 59, 57, 0
rigd, 98, 57, 54, 0
rigd, 99, 54, 56, 0
rigd, 100, 56, 52, 0
rigd, 101, 52, 50, 0
rigd, 102, 50, 48, 0
rigd, 103, 48, 46, 0
rigd, 104, 46, 44, 0
rigd, 105, 44, 42, 0
rigd, 106, 42, 40, 0
rigd, 107, 40, 1, 0
ptms, 0, 1, 100
ptms, 1, 4, 100
ptms, 2, 6, 100
ptms, 3, 8, 100
ptms, 4, 10, 100
ptms, 5, 12, 100
ptms, 6, 14, 100
ptms, 7, 16, 100
ptms, 8, 18, 100
ptms, 9, 20, 100
ptms, 10, 21, 100
ptms, 11, 23, 100
ptms, 12, 25, 100
ptms, 13, 27, 100
ptms, 14, 29, 100
ptms, 15, 35, 100
ptms, 16, 71, 100
ptms, 17, 69, 100
ptms, 18, 38, 100
ptms, 19, 33, 100
ptms, 20, 31, 100
ptms, 21, 67, 100
ptms, 22, 63, 100
ptms, 23, 61, 100
ptms, 24, 50, 100
ptms, 25, 52, 100
ptms, 26, 59, 100
ptms, 27, 46, 100
ptms, 28, 54, 100
ptms, 29, 48, 100
ptms, 30, 56, 100
ptms, 31, 57, 100
ptms, 32, 44, 100
ptms, 33, 42, 100
ptms, 34, 40, 100
ptms, 35, 65, 100
